ASPRequiredOptionalDerived,BusinessLine,DataElementLabel,Definition,Definition,ElementNumber,ElementOrder,ExampleValue,FAADS+ElementNumber,FPDSDefinition,FPDSElementLabel,FPDSElementNumber,FSRSElementName,Grouping,Instructions,MaxFieldLength,RequiredOptional,SAMElementName(ReferenceSAMDataDictionaryv7),Unnamed:12,Unnamed:13,ValidDataType,ValidationRules,file,DataCategory
,,FundingAgencyName,,Name of the department or establishment of the Government that provided the preponderance of the funds for an award and/or individual transactions related to an award.,38,45,,,,,,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Funding Entity Information
,,FundingAgencyCode,,The 3-digit CGAC agency code of the department or establishment of the Government that provided that preponderance of the funds for an award and/or individual transactions related to an award.,39,44,,,,,,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Funding Entity Information
,,FundingSubTierAgencyName,,Name of the level 2 organization that provided the preponderance of the funds obligated by this transaction.,40,38,,,,(FPDS Atom Feed XML tag name) fundingRequestingAgencyID.@name,N/A,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Funding Entity Information
,,FundingSubTierAgencyCode,,Identifier of the level 2 organization that provided the preponderance of the funds obligated by this transaction.,41,37,,,The code for the agency that provided the preponderance of the funds obligated by this transaction.,Program/Funding Agency - Code,4C,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Funding Entity Information
,,FundingOfficeName,,Name of the level n organization that provided the preponderance of the funds obligated by this transaction.,42,40,,,,,,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Funding Entity Information
,,FundingOfficeCode,,Identifier of the level n organization that provided the preponderance of the funds obligated by this transaction.,43,39,,,,,,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Funding Entity Information
,,FundingAgencyName,,The name of the department or establishment of the Government that provided the preponderance of the funds for an award and/or individual transactions related to an award.,38,30,"Education, Department of",N/A,,,,,,"Derived Field (from FundingAgencyCode).  

This is a new element, which will be derived by the updated ASP. It is not an element in FAADS+ and so lacks a FAADS+ Element Number",100,Derived,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Funding Entity Information
,,FundingAgencyCode,,The 3-digit Common Government-wide Accounting Classification (CGAC)agency code of the department or establishment of the Government that provided the preponderance of the funds for an award and/or individual transactions related to an award.,39,31,91,N/A,,,,,,"This is a new element, which will be reflected in and collected by the updated ASP. It is not an element in FAADS+ and so lacks a FAADS+ Element Number

Element value must be a valid enumeration. This is listed in the 'Domain_Values.xlsx' spreadsheet, in the 'Enumeration Types' tab.",3,Optional,N/A,,,string,D1,File D2 - Award and Awardee Attributes (Financial Assistance),Funding Entity Information
,,FundingSubTierAgencyName,,Name of the level 2 organization that provided the preponderance of the funds obligated by this transaction.,40,32,Substance Abuse And Mental Health Services Administration,N/A,,,,,,"Derived Field (from FundingAgencySubTierCode). 

This is a new element, which will be derived by the updated ASP. It is not an element in FAADS+ and so lacks a FAADS+ Element Number",100,Derived,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Funding Entity Information
,,FundingSubTierAgencyCode,,Identifier of the level 2 organization that provided the preponderance of the funds obligated by this transaction.,41,33,7522,N/A,,,,,,"This is a new element, which will be reflected in and collected by the updated ASP. It is not an element in FAADS+ and so lacks a FAADS+ Element Number

Element value must be a valid enumeration. This is listed in the 'Domain_Values.xlsx' spreadsheet, in the 'Enumeration Types' tab.",4,Optional,N/A,,,string,D1,File D2 - Award and Awardee Attributes (Financial Assistance),Funding Entity Information
,,FundingOfficeName,,Name of the level n organization that provided the preponderance of the funds obligated by this transaction.,42,34,Parkersburg,N/A,,,,,,"Derived Field (from FundingOfficeCode). 

This is a new element, which will be derived by the updated ASP. It is not an element in FAADS+ and so lacks a FAADS+ Element Number",100,Derived,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Funding Entity Information
,,FundingOfficeCode,,Identifier of the level n organization that provided the preponderance of the funds obligated by this transaction.,43,35,203,N/A,,,,,,"This is a new element, which will be reflected in and collected by the updated ASP. It is not an element in FAADS+ and so lacks a FAADS+ Element Number

Element value must be a valid enumeration. This is listed in the 'Domain_Values.xlsx' spreadsheet, in the 'Enumeration Types' tab.",6,Optional,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Funding Entity Information
,,A-76 FAIR Act Action,,Indicates whether the contract action resulted from an A- 76/Fair Act competitive sourcing process.,58,55,,,Indicates whether the contract action resulted from an A- 76/Fair Act competitive sourcing process.,A-76 (FAIR Act) Action,10L,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,American Indian Owned Business,,https://www.sam.gov,59,176,,,https://www.sam.gov,American Indian Owned Business,13Y,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Asian Pacific American Owned business,,"List characteristic of the contractor such as whether the selected contractor is an Asian-Pacific American Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",60,181,,,"List characteristic of the contractor such as whether the selected contractor is an Asian-Pacific American Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",Asian Pacific American Owned business,13Z,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Black American Owned Business,,"List characteristic of the contractor such as whether the selected contractor is a Black American Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",61,182,,,"List characteristic of the contractor such as whether the selected contractor is a Black American Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",Black American Owned Business,13AA,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,DoD Claimant Program Code,,"A claimant program number designates a grouping of supplies, construction, or other services.",62,56,,,"A claimant program number designates a grouping of supplies, construction, or other services.",DoD Claimant Program Code,8F,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Clinger-Cohen Act Planning Compliance,,A code indicating the funding office has certified that the information technology purchase meets the planning requirements in 40 USC 11312 & 40 USC 11313.,63,57,,,A code indicating the funding office has certified that the information technology purchase meets the planning requirements in 40 USC 11312 & 40 USC 11313.,Clinger-Cohen Act Planning Compliance,7A,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Commercial Item Acquisition Procedures,,Indicates whether the solicitation used the special requirements for the acquisition of commercial items intended to more closely resemble those customarily used in the commercial marketplace as defined by FAR Part 12.,64,58,,,Indicates whether the solicitation used the special requirements for the acquisition of commercial items intended to more closely resemble those customarily used in the commercial marketplace as defined by FAR Part 12.,Commercial Item Acquisition Procedures,10H,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Commercial Item Test Program,,"Indicates whether the solicitation used Commercial Item Acquisition Procedures (FAR Part 12) and Simplified Acquisition Procedures (FAR Part 13.5) for acquisitions above  the  Simplified  Acquisition  Threshold  and  below $6,500,000",65,59,,,"Indicates whether the solicitation used Commercial Item Acquisition Procedures (FAR Part 12) and Simplified Acquisition Procedures (FAR Part 13.5) for acquisitions above  the  Simplified  Acquisition  Threshold  and  below $6,500,000",Commercial Item Test Program,10J,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,SAM Exception,,The reason a vendor/contractor not registered in the mandated SAM system may be used in a purchase.,66,104,,,The reason a vendor/contractor not registered in the mandated SAM system may be used in a purchase.,SAM Exception,9J,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Consolidated Contract,,Indicates whether the contract is a consolidated contract. This is only 'True if the Funding Agency or the contracting agency is a DoD Agency. Data field exists in XML schema version 1.2 and later only.,68,60,,,Indicates whether the contract is a consolidated contract. This is only 'True if the Funding Agency or the contracting agency is a DoD Agency. Data field exists in XML schema version 1.2 and later only.,Consolidated Contract,8P,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Contingency Humanitarian or Peacekeeping Operation,,"A designator of contract actions that support a declared contingency operation, a declared humanitarian operation or a declared peacekeeping operation.",69,61,,,"A designator of contract actions that support a declared contingency operation, a declared humanitarian operation or a declared peacekeeping operation.","Contingency, Humanitarian, or Peacekeeping Operation",6H,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Contract Bundling,,"Designates that the value of the contract, including all options, is expected to exceed the threshold, whose value is: (1) $5 million until 09/27/2006 (2) $5.5 million from 09/28/2006 to 09/30/2010 (3) $6 million from 10/01/2010. The contracting officer determines this contract action is a result of consolidating two or more requirements previously solicited, provided or performed under separate small contracts into a solicitation for a single contract likely to be unsuitable for award to a small business concern. Indicates the reason why the agency bundled contract requirements.",70,62,,,"Designates that the value of the contract, including all options, is expected to exceed the threshold, whose value is: (1) $5 million until 09/27/2006 (2) $5.5 million from 09/28/2006 to 09/30/2010 (3) $6 million from 10/01/2010. The contracting officer determines this contract action is a result of consolidating two or more requirements previously solicited, provided or performed under separate small contracts into a solicitation for a single contract likely to be unsuitable for award to a small business concern. Indicates the reason why the agency bundled contract requirements.",Contract Bundling,8N,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
